customer_state,customer_city,total_orders,total_customers,total_product_revenue,total_freight,total_order_value,avg_order_value
PR,jacarezinho,17,15,1356.86,363.6,1720.46,101.2035294117647
RS,mostardas,11,10,1517.83,202.5,1720.33,156.39363636363638
SP,embu,11,10,1517.88,201.78,1719.66,156.33272727272728
SP,reginopolis,3,3,1552.99,166.33,1719.32,573.1066666666667
MG,entre rios de minas,7,6,1503.86,205.76,1709.62,244.23142857142858
RS,dom pedrito,10,10,1461.93,246.16,1708.09,170.809
SP,cordeiropolis,16,16,1338.05,367.24,1705.29,106.580625
MG,malacacheta,7,7,1355.65,346.56,1702.21,243.17285714285714
SP,aracoiaba da serra,11,11,1511.57,190.19,1701.76,154.70545454545456
PA,marituba,15,13,1235.09,464.41,1699.5,113.3
MG,buenopolis,5,5,1450.38,247.71,1698.09,339.618
MG,lambari,8,8,1506.47,186.44,1692.91,211.61375
MG,piranguinho,9,8,1475.65,214.2,1689.85,187.76111111111112
PR,andira,11,9,1462.18,226.41,1688.59,153.5081818181818
RS,toropi,3,3,1529.9,153.08,1682.98,560.9933333333333
SC,correia pinto,11,8,1454.23,225.95,1680.18,152.74363636363637
BA,mata de sao joao,12,11,1382.55,296.52,1679.07,139.9225
MS,cassilandia,5,5,1524.5,153.09,1677.59,335.518
PB,cabedelo,7,7,1213.95,463.62,1677.57,239.65285714285713
SP,bastos,17,15,1399.6,274.34,1673.94,98.46705882352941
RS,crissiumal,2,2,1589.0,82.3,1671.3,835.65
PB,queimadas,5,5,1422.9,248.04,1670.94,334.188
MG,mata verde,6,6,1512.53,154.98,1667.51,277.91833333333335
SP,jose bonifacio,12,12,1486.34,180.59,1666.93,138.91083333333333
PR,siqueira campos,9,9,1478.08,185.54,1663.62,184.84666666666666
MT,itauba,5,5,1420.98,240.99,1661.97,332.394
PE,sao lourenco da mata,12,12,1239.86,420.34,1660.2,138.35
RO,costa marques,2,2,1534.9,123.38,1658.28,829.14
SP,tanabi,11,11,1404.39,253.75,1658.14,150.74
PE,barreiros,6,6,1381.16,272.54,1653.7,275.6166666666667
RS,arroio do meio,10,9,1425.21,222.96,1648.17,164.817
SC,garuva,5,5,1467.38,180.28,1647.66,329.532
RJ,porto real,7,6,1484.6,161.32,1645.92,235.13142857142856
MG,tupaciguara,13,13,1331.21,314.15,1645.36,126.56615384615385
MA,loreto,1,1,1599.99,43.65,1643.64,1643.64
PB,guarabira,10,10,1239.68,403.18,1642.86,164.286
MG,conceicao das alagoas,3,3,1542.4,99.0,1641.4,547.1333333333333
CE,acarau,8,6,1364.96,274.98,1639.94,204.9925
MG,nova ponte,9,9,1409.49,229.05,1638.54,182.06
SP,pitangueiras,16,16,1362.62,272.02,1634.64,102.165
ES,vila valerio,8,7,1369.4,262.89,1632.29,204.03625
RS,casca,7,7,1326.27,302.67,1628.94,232.7057142857143
BA,formosa do rio preto,3,3,1398.13,230.03,1628.16,542.72
RO,pimenta bueno,7,7,1243.79,378.48,1622.27,231.75285714285715
ES,jaguare,14,14,1283.85,334.53,1618.38,115.59857142857143
SC,orleans,8,8,1408.59,209.08,1617.67,202.20875
ES,baixo guandu,8,8,1399.1,218.07,1617.17,202.14625
MA,sao joao dos patos,7,7,1333.08,282.39,1615.47,230.78142857142856
SP,iguape,14,14,1359.57,255.63,1615.2,115.37142857142857
MG,divino,14,14,1338.49,273.23,1611.72,115.12285714285714
PA,xinguara,9,9,1282.22,326.29,1608.51,178.72333333333333
MG,conceicao do mato dentro,12,12,1317.91,288.43,1606.34,133.86166666666668
MG,itapecerica,13,12,1363.28,240.4,1603.68,123.36
PE,afogados da ingazeira,8,8,1345.98,250.41,1596.39,199.54875
MG,jequitinhonha,11,9,1372.37,223.49,1595.86,145.07818181818183
SC,lauro muller,8,8,1449.57,146.03,1595.6,199.45
SP,pacaembu,6,6,1505.29,89.78,1595.07,265.845
ES,marilandia,8,8,1436.07,157.15,1593.22,199.1525
AL,penedo,8,8,1239.87,352.8,1592.67,199.08375
PR,ibipora,12,12,1303.38,287.46,1590.84,132.57
MG,mutum,8,8,1397.94,191.93,1589.87,198.73375
MG,aracuai,9,9,1362.98,225.8,1588.78,176.5311111111111
MG,periquito,2,2,1526.0,62.1,1588.1,794.05
MG,baependi,8,8,1409.04,178.35,1587.39,198.42375
MG,ipaba,8,8,1403.5,181.76,1585.26,198.1575
SP,pirapozinho,14,13,1319.37,263.1,1582.47,113.03357142857143
RS,igrejinha,17,17,1173.03,408.61,1581.64,93.03764705882352
MG,aguas formosas,5,5,1341.7,238.87,1580.57,316.114
SP,biritiba-mirim,10,10,1381.72,198.05,1579.77,157.977
MG,barroso,11,11,1289.96,285.56,1575.52,143.2290909090909
CE,morada nova,9,9,1295.28,276.32,1571.6,174.62222222222223
BA,candeias,13,12,1214.17,351.48,1565.65,120.43461538461538
CE,santana do acarau,4,4,1376.89,186.69,1563.58,390.895
RS,girua,10,9,1335.28,225.69,1560.97,156.097
PI,altos,5,5,1345.39,215.48,1560.87,312.174
RJ,italva,14,13,1285.99,270.27,1556.26,111.16142857142857
SC,itaiopolis,8,8,1313.59,241.83,1555.42,194.4275
MG,simonesia,8,7,1295.88,253.99,1549.87,193.73375
MG,corinto,11,10,1362.86,182.77,1545.63,140.51181818181817
RS,chapada,4,4,1463.19,82.14,1545.33,386.3325
PR,santo antonio da platina,12,11,1140.61,404.23,1544.84,128.73666666666668
AP,santana,9,9,1202.64,341.3,1543.94,171.54888888888888
SP,sao miguel arcanjo,13,12,1311.09,232.69,1543.78,118.7523076923077
RS,nova prata,16,15,1230.94,310.31,1541.25,96.328125
SP,pinhalzinho,12,12,1300.42,237.54,1537.96,128.16333333333333
MS,fatima do sul,4,4,1436.29,100.57,1536.86,384.215
PE,saloa,3,3,1231.0,305.08,1536.08,512.0266666666666
SP,mirandopolis,13,12,1274.99,260.42,1535.41,118.10846153846154
SP,tabapua,12,12,1322.96,212.25,1535.21,127.93416666666667
BA,ibitita,1,1,1450.0,84.58,1534.58,1534.58
SP,iracemapolis,18,17,1251.88,280.62,1532.5,85.13888888888889
RS,campinas do sul,6,6,1398.89,132.35,1531.24,255.20666666666668
RJ,sao jose do vale do rio preto,12,12,1192.21,335.45,1527.66,127.305
RJ,boa esperanca,1,1,1399.99,127.52,1527.51,1527.51
GO,sao luis de montes belos,8,8,1284.37,239.76,1524.13,190.51625
SP,itabera,7,7,1366.14,156.84,1522.98,217.56857142857143
RS,itaqui,9,9,1154.38,367.94,1522.32,169.14666666666668
SP,bocaina,6,5,1391.9,128.72,1520.62,253.43666666666667
CE,pacajus,6,6,1262.59,257.41,1520.0,253.33333333333334
GO,sao miguel do araguaia,5,5,1321.15,196.88,1518.03,303.606
CE,barbalha,6,6,1302.98,212.43,1515.41,252.56833333333333
PA,sao miguel do guama,5,5,1240.79,273.61,1514.4,302.88
BA,buerarema,4,4,1420.8,89.52,1510.32,377.58
RJ,mendes,12,12,1240.75,269.24,1509.99,125.8325
MG,astolfo dutra,11,8,1294.52,215.17,1509.69,137.24454545454546
SP,agudos,16,16,1265.3,243.65,1508.95,94.309375
RS,ivoti,13,13,1235.11,272.32,1507.43,115.95615384615385
SC,sombrio,11,10,1225.82,280.79,1506.61,136.96454545454546
SP,altinopolis,4,4,1428.8,77.24,1506.04,376.51
RS,tres passos,11,11,1270.21,233.51,1503.72,136.70181818181817
PI,guadalupe,4,4,1313.7,189.06,1502.76,375.69
SP,aluminio,13,13,1252.15,248.49,1500.64,115.43384615384615
RN,parelhas,4,4,1233.89,262.91,1496.8,374.2
PA,conceicao do araguaia,7,7,1143.89,350.71,1494.6,213.5142857142857
SP,casa branca,13,13,1261.58,231.3,1492.88,114.83692307692307
PE,palmares,8,8,1206.82,280.21,1487.03,185.87875
SC,apiuna,7,6,1320.6,164.2,1484.8,212.11428571428573
RS,bom retiro do sul,2,2,1379.0,105.21,1484.21,742.105
SP,divinolandia,7,7,1370.68,112.22,1482.9,211.84285714285716
BA,alcobaca,4,4,1289.78,192.12,1481.9,370.475
RS,espumoso,7,7,1210.71,269.75,1480.46,211.49428571428572
PE,sao bento do una,4,4,1328.39,149.41,1477.8,369.45
BA,tapiramuta,2,2,1298.99,177.91,1476.9,738.45
RN,upanema,3,3,1343.6,132.65,1476.25,492.0833333333333
SP,teodoro sampaio,12,12,1259.77,214.14,1473.91,122.82583333333334
SP,santa gertrudes,11,11,1194.21,276.84,1471.05,133.73181818181817
SC,capinzal,10,10,1220.55,248.68,1469.23,146.923
PR,sao miguel do iguacu,10,10,1288.2,180.03,1468.23,146.823
SC,forquilhinha,13,12,1143.85,324.33,1468.18,112.93692307692308
BA,coaraci,4,4,1201.88,266.24,1468.12,367.03
PA,santana do araguaia,3,3,1190.8,277.11,1467.91,489.30333333333334
MG,turmalina,9,9,1229.69,237.36,1467.05,163.00555555555556
RN,joao camara,2,2,1379.8,87.01,1466.81,733.405
MG,rio pomba,6,6,1192.86,272.0,1464.86,244.14333333333335
MG,dores de campos,8,8,1308.14,156.05,1464.19,183.02375
GO,neropolis,7,7,1297.22,166.8,1464.02,209.1457142857143
AL,palmeira dos indios,8,8,1094.41,369.05,1463.46,182.9325
TO,guarai,4,4,1156.6,302.77,1459.37,364.8425
MG,botelhos,8,8,1240.01,216.46,1456.47,182.05875
SP,duartina,10,9,1252.67,200.63,1453.3,145.33
MS,caarapo,4,4,1310.49,137.44,1447.93,361.9825
SC,celso ramos,2,2,1136.79,304.15,1440.94,720.47
SP,descalvado,13,13,1231.74,207.83,1439.57,110.73615384615384
SP,sao simao,10,9,1297.89,141.4,1439.29,143.929
SP,ouroeste,11,11,1235.19,202.38,1437.57,130.68818181818182
PA,braganca,9,9,1083.96,353.31,1437.27,159.69666666666666
RJ,papucaia,10,10,1126.77,308.93,1435.7,143.57
MG,bonfinopolis de minas,2,2,1387.2,46.55,1433.75,716.875
MG,sao francisco,12,12,1193.62,238.08,1431.7,119.30833333333334
SP,itapui,7,7,1307.09,123.8,1430.89,204.41285714285715
SC,ibirama,13,13,1026.5,402.7,1429.2,109.93846153846154
PR,assis chateaubriand,12,12,1200.31,225.99,1426.3,118.85833333333333
SC,gravatal,6,6,1260.27,158.01,1418.28,236.38
MA,cedral,3,3,1164.9,251.62,1416.52,472.17333333333335
CE,ubajara,3,3,1178.9,235.73,1414.63,471.54333333333335
PI,cocal,8,8,1106.77,307.11,1413.88,176.735
PR,realeza,6,6,1264.26,148.5,1412.76,235.46
SP,ipaussu,7,7,1228.72,180.54,1409.26,201.32285714285715
PI,fronteiras,3,3,1308.8,100.04,1408.84,469.61333333333334
SP,conchas,10,9,1213.02,195.54,1408.56,140.856
PR,primeiro de maio,7,6,1216.67,190.94,1407.61,201.08714285714285
PB,mamanguape,6,6,969.75,436.72,1406.47,234.41166666666666
MG,sao goncalo do sapucai,9,9,1252.4,151.58,1403.98,155.99777777777777
SP,dois corregos,11,11,1233.69,168.9,1402.59,127.50818181818182
GO,campinorte,7,7,1244.69,155.92,1400.61,200.08714285714285
PE,bonito,5,5,1235.79,163.05,1398.84,279.768
BA,vera cruz,7,7,1243.52,151.3,1394.82,199.26
RS,campestre da serra,2,2,1348.99,41.07,1390.06,695.03
RJ,goitacazes,11,11,1116.34,271.9,1388.24,126.20363636363636
SC,herval d'oeste,9,9,1106.74,280.19,1386.93,154.10333333333332
RS,santo augusto,9,8,1165.08,221.8,1386.88,154.09777777777776
MG,carandai,11,11,1143.5,242.94,1386.44,126.04
SP,balsamo,6,5,1257.23,126.25,1383.48,230.58
MG,perdizes,8,8,1163.31,219.19,1382.5,172.8125
PR,campina grande do sul,10,10,1152.47,230.02,1382.49,138.249
SC,rio negrinho,13,13,1121.19,260.54,1381.73,106.28692307692307
SP,itariri,6,6,1259.32,119.41,1378.73,229.78833333333333
GO,silvania,7,7,1208.79,164.36,1373.15,196.1642857142857
PB,pirpirituba,1,1,1340.0,32.25,1372.25,1372.25
MT,confresa,7,7,1065.65,305.97,1371.62,195.94571428571427
SP,guararema,11,11,1189.56,180.85,1370.41,124.58272727272727
RJ,areal,7,7,1152.18,212.45,1364.63,194.94714285714286
RS,tapejara,9,9,1165.13,199.36,1364.49,151.61
PA,tucuma,4,4,1150.25,212.74,1362.99,340.7475
MG,areado,6,6,1246.69,113.86,1360.55,226.75833333333333
AL,coruripe,3,3,1222.3,136.79,1359.09,453.03
MG,raul soares,12,11,1115.51,242.26,1357.77,113.1475
SP,sao lourenco da serra,12,12,1151.95,205.08,1357.03,113.08583333333333
PB,sousa,7,7,1042.59,313.84,1356.43,193.7757142857143
MT,canarana,10,10,1103.73,252.58,1356.31,135.631
GO,uruana,3,3,1142.29,213.66,1355.95,451.98333333333335
MA,barra do corda,7,7,889.89,464.44,1354.33,193.47571428571428
AL,delmiro gouveia,4,4,1125.8,227.91,1353.71,338.4275
ES,domingos martins,9,8,1188.3,165.33,1353.63,150.40333333333334
MG,sao joao evangelista,7,7,1227.66,125.42,1353.08,193.29714285714286
SP,barao ataliba nogueira,1,1,1300.0,51.51,1351.51,1351.51
SC,schroeder,9,9,1168.69,180.53,1349.22,149.91333333333333
MT,aripuana,8,8,1124.78,223.6,1348.38,168.5475
BA,inhambupe,7,7,1117.78,229.2,1346.98,192.4257142857143
SP,pirangi,8,8,1199.99,146.44,1346.43,168.30375
SP,parapua,8,6,1178.4,167.43,1345.83,168.22875
SP,maracai,8,8,1114.58,231.03,1345.61,168.20125
GO,chapadao do ceu,8,7,1108.57,234.68,1343.25,167.90625
MG,barra longa,1,1,1300.0,41.55,1341.55,1341.55
MG,monte belo,5,5,1109.78,230.52,1340.3,268.06
CE,jaguaruana,4,4,1155.15,184.15,1339.3,334.825
SP,pontal,12,12,1097.38,235.67,1333.05,111.0875
CE,reriutaba,3,3,1093.32,238.31,1331.63,443.87666666666667
RS,arroio do sal,7,5,918.97,411.34,1330.31,190.0442857142857
MA,coroata,9,8,873.48,454.99,1328.47,147.60777777777778
SP,guara,8,8,1093.7,234.5,1328.2,166.025
SP,salto de pirapora,13,13,1130.59,195.59,1326.18,102.01384615384616
RJ,sumidouro,10,9,1060.68,265.29,1325.97,132.597
PA,barcarena,6,6,1084.17,239.5,1323.67,220.61166666666668
MG,pompeu,11,11,1055.18,266.49,1321.67,120.15181818181819
RS,frederico westphalen,14,14,1053.45,266.44,1319.89,94.27785714285714
SP,saltinho,5,4,1164.79,151.56,1316.35,263.27
MG,sarzedo,18,18,987.93,328.4,1316.33,73.12944444444445
PI,campo maior,7,7,993.66,321.05,1314.71,187.81571428571428
ES,santa teresa,10,9,1117.36,196.29,1313.65,131.365
SP,urupes,10,10,1150.14,163.13,1313.27,131.327
ES,boa esperanca,7,6,1097.58,215.37,1312.95,187.56428571428572
SP,salesopolis,10,10,1146.52,164.44,1310.96,131.096
SC,sao joaquim,9,9,1118.98,191.41,1310.39,145.5988888888889
PB,alhandra,2,2,1037.0,270.91,1307.91,653.955
BA,conceicao do coite,9,9,997.89,309.15,1307.04,145.22666666666666
GO,acreuna,7,7,1070.43,236.02,1306.45,186.63571428571427
BA,riacho de santana,4,4,1194.7,107.77,1302.47,325.6175
RN,macau,5,5,998.88,298.81,1297.69,259.538
CE,redencao,4,3,1104.68,192.98,1297.66,324.415
MG,raposos,11,11,1009.52,287.79,1297.31,117.93727272727273
PE,venturosa,2,2,1228.9,68.16,1297.06,648.53
BA,catu de abrantes,2,2,1135.99,159.87,1295.86,647.93
RS,rosario do sul,14,12,933.25,359.27,1292.52,92.32285714285715
SP,charqueada,10,10,1122.67,168.21,1290.88,129.088
BA,itaberaba,10,10,1089.16,197.03,1286.19,128.619
SC,araquari,11,11,993.25,292.11,1285.36,116.85090909090908
CE,quixere,3,3,1143.3,137.71,1281.01,427.00333333333333
PR,arapoti,9,9,966.97,313.94,1280.91,142.32333333333332
RS,rolante,10,10,1044.15,236.14,1280.29,128.029
PE,toritama,5,5,1072.79,205.2,1277.99,255.598
MG,capinopolis,11,11,1042.18,235.77,1277.95,116.17727272727272
RS,butia,6,6,1112.69,165.23,1277.92,212.98666666666668
MS,costa rica,12,11,1043.66,230.24,1273.9,106.15833333333333
MG,prata,10,10,1044.58,225.78,1270.36,127.036
SP,brotas,12,12,1073.08,196.8,1269.88,105.82333333333334
BA,casa nova,6,5,1126.19,143.35,1269.54,211.59
BA,camacan,6,6,1134.67,134.73,1269.4,211.56666666666666
AL,santana do mundau,3,3,1052.8,215.21,1268.01,422.67
PB,passagem,1,1,1199.0,66.83,1265.83,1265.83
PR,ibaiti,11,9,1057.36,206.78,1264.14,114.92181818181818
MA,colinas,3,3,1128.87,134.53,1263.4,421.1333333333333
CE,jijoca de jericoacoara,4,4,1130.9,131.32,1262.22,315.555
RO,alto paraiso,1,1,1200.0,60.76,1260.76,1260.76
AM,coari,1,1,1190.65,68.39,1259.04,1259.04
SP,aguas da prata,10,10,1028.28,229.29,1257.57,125.757
MG,cristina,8,8,1079.32,177.06,1256.38,157.0475
PR,itapejara d'oeste,6,6,1049.9,206.02,1255.92,209.32
CE,cascavel,5,5,1035.66,219.09,1254.75,250.95
RS,capao do leao,4,4,1072.25,182.41,1254.66,313.665
MG,arapora,5,5,1144.38,108.99,1253.37,250.674
SP,santo antonio do pinhal,2,2,1128.9,123.79,1252.69,626.345
CE,hidrolandia,7,6,953.77,297.98,1251.75,178.82142857142858
CE,taua,10,10,933.13,318.24,1251.37,125.137
RS,terra de areia,5,5,1137.29,113.64,1250.93,250.186
PI,valenca do piaui,4,4,1043.0,204.87,1247.87,311.9675
RJ,santa maria madalena,7,7,1046.09,201.36,1247.45,178.20714285714286
MT,bom jesus do araguaia,1,1,1199.9,47.39,1247.29,1247.29
RN,caraubas,3,3,1059.29,187.47,1246.76,415.58666666666664
MG,poco fundo,8,8,933.99,310.89,1244.88,155.61
RS,jaguarao,8,8,1025.29,216.72,1242.01,155.25125
BA,entre rios,6,6,1103.4,138.12,1241.52,206.92
PE,lajedo,7,7,988.09,249.83,1237.92,176.84571428571428
MG,sao jose da lapa,8,8,1086.58,150.94,1237.52,154.69
GO,goias,8,8,1084.21,152.52,1236.73,154.59125
PR,pontal do parana,8,8,1084.26,150.79,1235.05,154.38125
BA,prado,5,5,1090.79,143.8,1234.59,246.918
SP,buritama,9,9,1024.24,210.18,1234.42,137.15777777777777
SP,engenheiro coelho,13,12,1089.47,144.77,1234.24,94.94153846153846
MA,acailandia,7,7,937.79,295.69,1233.48,176.21142857142857
SP,rio das pedras,11,11,1042.64,188.88,1231.52,111.95636363636363
RJ,japuiba,5,4,1017.58,213.27,1230.85,246.17
MG,ervalia,7,7,1076.83,153.62,1230.45,175.77857142857144
MT,alto araguaia,5,5,1085.73,142.4,1228.13,245.626
BA,macaubas,9,9,873.37,353.78,1227.15,136.35
BA,santo estevao,5,5,979.81,246.88,1226.69,245.338
RS,arroio dos ratos,9,8,1034.18,192.34,1226.52,136.28
SP,pilar do sul,12,12,1002.36,222.96,1225.32,102.11
SP,brodowski,10,10,1020.54,204.05,1224.59,122.459
RJ,mangaratiba,12,12,974.84,249.58,1224.42,102.035
GO,goianapolis,4,4,1086.98,137.06,1224.04,306.01
PB,brejo do cruz,1,1,1160.0,57.78,1217.78,1217.78
RS,garibaldi,9,9,1014.8,201.45,1216.25,135.13888888888889
GO,rubiataba,7,7,1034.09,176.6,1210.69,172.9557142857143
GO,serranopolis,3,3,1002.88,207.39,1210.27,403.42333333333335
PA,uruara,6,6,962.4,236.73,1199.13,199.855
SP,vera cruz,10,10,1052.17,146.27,1198.44,119.844
MS,rio brilhante,11,11,972.28,222.88,1195.16,108.6509090909091
RS,xangri-la,8,7,1013.58,179.29,1192.87,149.10875
MG,mar de espanha,9,9,1014.72,176.85,1191.57,132.39666666666668
SP,taruma,9,9,997.72,192.23,1189.95,132.21666666666667
SP,guarei,5,5,1098.29,89.15,1187.44,237.488
MG,mirai,9,8,880.81,305.72,1186.53,131.83666666666667
SP,monte aprazivel,10,9,948.11,238.39,1186.5,118.65
PR,nova prata do iguacu,6,6,1049.78,135.41,1185.19,197.53166666666667
RO,extrema,4,3,985.8,198.72,1184.52,296.13
RN,sao goncalo do amarante,7,7,859.78,324.5,1184.28,169.18285714285713
ES,pinheiros,8,8,1024.32,158.19,1182.51,147.81375
PE,tabira,5,5,986.88,192.01,1178.89,235.778
ES,fundao,5,5,1072.68,105.27,1177.95,235.59
PE,lagoa grande,4,3,1018.36,158.83,1177.19,294.2975
SP,tarabai,5,5,982.35,192.05,1174.4,234.88
MG,gouveia,4,4,936.96,230.27,1167.23,291.8075
SP,primavera,9,9,996.78,169.23,1166.01,129.55666666666667
TO,dianopolis,7,7,822.95,342.46,1165.41,166.48714285714286
GO,cacu,8,8,982.68,180.85,1163.53,145.44125
SP,cajobi,8,8,1018.43,144.46,1162.89,145.36125
SC,otacilio costa,5,5,913.29,249.56,1162.85,232.57
SP,pauliceia,3,3,1070.27,91.83,1162.1,387.3666666666667
MG,arceburgo,7,7,924.14,236.69,1160.83,165.83285714285714
MG,catas altas,5,5,1052.85,107.5,1160.35,232.07
SC,treze tilias,11,11,885.66,273.7,1159.36,105.39636363636363
MG,sao jose da barra,6,6,987.14,170.97,1158.11,193.01833333333335
RN,caicara do norte,1,1,1099.0,58.41,1157.41,1157.41
SP,chavantes,12,12,926.52,227.62,1154.14,96.17833333333333
GO,itaberai,6,6,1012.08,139.0,1151.08,191.84666666666666
MS,bonito,8,8,991.47,159.5,1150.97,143.87125
BA,seabra,6,6,982.5,165.76,1148.26,191.37666666666667
SP,lucelia,12,12,961.35,186.54,1147.89,95.6575
SP,patrocinio paulista,2,2,1059.2,88.26,1147.46,573.73
PE,cabrobo,6,6,921.79,225.12,1146.91,191.15166666666667
PR,colorado,6,6,1022.78,123.07,1145.85,190.975
ES,ecoporanga,8,8,881.92,263.91,1145.83,143.22875
SC,sao lourenco do oeste,10,10,911.37,232.42,1143.79,114.379
MG,aimores,10,10,951.37,192.4,1143.77,114.377
RS,encruzilhada do sul,8,8,903.99,238.6,1142.59,142.82375
PI,bom jesus,4,4,925.1,217.04,1142.14,285.535
MA,pedreiras,3,3,1002.69,139.07,1141.76,380.58666666666664
RS,bom principio,6,6,1003.11,137.64,1140.75,190.125
MT,sapezal,8,8,964.82,174.7,1139.52,142.44
PR,ortigueira,8,8,993.29,146.16,1139.45,142.43125
PB,bayeux,7,7,808.05,331.36,1139.41,162.77285714285713
CE,santa quiteria,5,5,849.67,289.45,1139.12,227.824
SP,luis antonio,7,7,980.08,151.35,1131.43,161.63285714285715
GO,crixas,8,7,893.68,235.76,1129.44,141.18
MG,fervedouro,8,8,965.76,162.85,1128.61,141.07625
SC,piratuba,6,6,958.98,169.5,1128.48,188.08
RS,nova roma do sul,1,1,1106.99,20.3,1127.29,1127.29
ES,sao jose do calcado,6,6,970.18,157.08,1127.26,187.87666666666667
AC,cruzeiro do sul,3,3,957.79,169.27,1127.06,375.68666666666667
BA,jeremoabo,6,6,922.08,204.29,1126.37,187.72833333333332
CE,morrinhos,4,4,917.8,206.99,1124.79,281.1975
PA,picarra,1,1,1014.6,108.26,1122.86,1122.86
SP,pedregulho,2,2,1039.4,82.78,1122.18,561.09
PA,concordia do para,3,3,929.78,191.12,1120.9,373.6333333333333
CE,quixeramobim,6,6,859.79,260.18,1119.97,186.66166666666666
SP,santo antonio do aracangua,1,1,1099.0,18.99,1117.99,1117.99
SP,serrana,13,13,917.9,197.37,1115.27,85.79
GO,bom jesus,8,7,928.27,184.26,1112.53,139.06625
RJ,porciuncula,8,7,936.88,175.25,1112.13,139.01625
MT,campos de julio,6,6,934.8,175.55,1110.35,185.05833333333334
PR,paicandu,10,10,943.16,163.06,1106.22,110.622
MG,itamonte,10,9,883.15,221.91,1105.06,110.506
SP,buri,10,10,938.32,165.07,1103.39,110.339
SP,sao sebastiao da grama,4,4,1024.79,77.23,1102.02,275.505
PR,godoy moreira,1,1,1049.0,52.83,1101.83,1101.83
PR,pinhao,8,7,920.28,181.24,1101.52,137.69
SP,dourado,8,8,920.43,177.92,1098.35,137.29375
GO,iaciara,4,4,846.99,251.32,1098.31,274.5775
SP,vargem grande do sul,13,13,864.6,231.55,1096.15,84.31923076923077
PR,cambara,10,10,863.17,232.89,1096.06,109.606
MG,tres marias,13,12,840.44,255.46,1095.9,84.3
SP,cardoso,6,6,944.81,150.51,1095.32,182.55333333333334
SP,potirendaba,9,9,823.32,271.78,1095.1,121.67777777777778
SC,benedito novo,6,6,945.74,148.03,1093.77,182.295
MG,virginopolis,8,7,881.64,210.58,1092.22,136.5275
MG,pecanha,5,5,882.7,209.1,1091.8,218.36
SP,cosmorama,6,6,973.98,117.57,1091.55,181.925
SP,estiva gerbi,7,5,964.26,126.72,1090.98,155.8542857142857
MG,candeias,10,9,888.29,201.89,1090.18,109.018
SP,regente feijo,10,10,897.01,191.3,1088.31,108.831
BA,ipiau,8,8,787.21,300.82,1088.03,136.00375
MT,matupa,7,5,871.17,216.7,1087.87,155.41
SC,itapoa,9,9,849.67,238.08,1087.75,120.86111111111111
PR,prudentopolis,7,7,839.09,246.08,1085.17,155.02428571428572
SC,urussanga,10,10,893.68,189.4,1083.08,108.308
SE,simao dias,7,7,828.48,254.43,1082.91,154.70142857142858
SP,pradopolis,10,10,901.0,180.31,1081.31,108.131
MG,fronteira,6,6,949.66,129.87,1079.53,179.92166666666665
SC,porto belo,9,9,856.32,223.0,1079.32,119.92444444444445
AL,inhapi,2,2,979.9,95.2,1075.1,537.55
SP,oriente,3,3,1017.27,57.75,1075.02,358.34
PE,lagoa dos gatos,3,3,969.99,103.48,1073.47,357.8233333333333
BA,barra da estiva,7,6,860.57,212.11,1072.68,153.24
SE,sao francisco,3,3,934.9,137.16,1072.06,357.35333333333335
MG,eugenopolis,5,5,973.87,97.52,1071.39,214.278
PE,condado,4,4,944.8,126.31,1071.11,267.7775
PR,colonia jordaozinho,2,2,843.4,227.63,1071.03,535.515
MG,bom jardim de minas,8,8,866.87,201.51,1068.38,133.5475
TO,cristalandia,3,3,948.69,119.24,1067.93,355.9766666666667
PE,dormentes,2,2,946.8,120.93,1067.73,533.865
MG,paraopeba,9,9,880.67,186.07,1066.74,118.52666666666667
PR,palotina,10,10,872.76,193.01,1065.77,106.577
RS,nova santa rita,5,5,954.78,109.22,1064.0,212.8
MG,conceicao da aparecida,5,5,866.08,197.57,1063.65,212.73
PR,sao joao,11,10,872.09,190.52,1062.61,96.60090909090908
MG,borda da mata,6,6,897.53,164.72,1062.25,177.04166666666666
RS,nao-me-toque,7,6,859.68,202.42,1062.1,151.72857142857143
CE,sao benedito,4,4,789.19,269.57,1058.76,264.69
PR,coronel vivida,11,11,856.87,201.72,1058.59,96.23545454545454
GO,goianira,8,8,853.81,203.96,1057.77,132.22125
AL,sao miguel dos campos,2,2,813.36,240.75,1054.11,527.055
ES,alfredo chaves,7,6,902.71,149.9,1052.61,150.37285714285716
MG,jordania,5,5,886.25,160.95,1047.2,209.44
RS,cacapava do sul,5,5,859.99,184.84,1044.83,208.966
RS,balneario pinhal,7,6,898.57,145.37,1043.94,149.1342857142857
SP,icem,9,8,885.97,157.67,1043.64,115.96
RS,serafina correa,9,9,813.66,228.72,1042.38,115.82
PR,colonia castrolanda,3,3,824.03,217.68,1041.71,347.2366666666667
PI,regeneracao,6,6,790.97,250.67,1041.64,173.60666666666665
PE,aguas belas,6,6,769.87,271.53,1041.4,173.56666666666666
BA,jacaraci,4,3,911.79,128.48,1040.27,260.0675
SC,pinhalzinho,9,9,816.86,223.34,1040.2,115.57777777777778
MA,lago da pedra,5,5,840.37,198.59,1038.96,207.792
PR,munhoz de melo,4,4,953.89,83.37,1037.26,259.315
RJ,varre-sai,4,4,918.9,116.47,1035.37,258.8425
BA,itacare,8,8,841.39,191.4,1032.79,129.09875
